Date,Sunrise,Sunset,30 mins,End Curtailment,Start Curtailment,
20-Aug-24,5:47,19:51,0:30,6:17,19:21,
21-Aug-24,5:49,19:49,0:30,6:19,19:19,
22-Aug-24,5:50,19:47,0:30,6:20,19:17,
23-Aug-24,5:52,19:45,0:30,6:22,19:15,
24-Aug-24,5:53,19:43,0:30,6:23,19:13,
25-Aug-24,5:54,19:41,0:30,6:24,19:11,
26-Aug-24,5:56,19:39,0:30,6:26,19:09,
27-Aug-24,5:57,19:37,0:30,6:27,19:07,
28-Aug-24,5:59,19:35,0:30,6:29,19:05,
29-Aug-24,6:00,19:33,0:30,6:30,19:03,
30-Aug-24,6:01,19:31,0:30,6:31,19:01,
31-Aug-24,6:03,19:29,0:30,6:33,18:59,
1-Sep-24,6:04,19:27,0:30,6:34,18:57,
2-Sep-24,6:06,19:25,0:30,6:36,18:55,
3-Sep-24,6:07,19:23,0:30,6:37,18:53,
4-Sep-24,6:08,19:21,0:30,6:38,18:51,
5-Sep-24,6:10,19:19,0:30,6:40,18:49,
6-Sep-24,6:11,19:17,0:30,6:41,18:47,
7-Sep-24,6:13,19:14,0:30,6:43,18:44,
8-Sep-24,6:14,19:12,0:30,6:44,18:42,
9-Sep-24,6:15,19:10,0:30,6:45,18:40,
10-Sep-24,6:17,19:08,0:30,6:47,18:38,
11-Sep-24,6:18,19:06,0:30,6:48,18:36,
12-Sep-24,6:20,19:04,0:30,6:50,18:34,
13-Sep-24,6:21,19:02,0:30,6:51,18:32,
14-Sep-24,6:22,19:00,0:30,6:52,18:30,
15-Sep-24,6:24,18:58,0:30,6:29,19:05,
16-Sep-24,6:25,18:56,0:30,6:30,19:03,
17-Sep-24,6:27,18:53,0:30,6:31,19:01,
18-Sep-24,6:28,18:51,0:30,6:33,18:59,
19-Sep-24,6:29,18:49,0:30,6:34,18:57,
20-Sep-24,6:31,18:47,0:30,6:36,18:55,
21-Sep-24,6:32,18:45,0:30,6:37,18:53,
22-Sep-24,6:34,18:43,0:30,6:38,18:51,
23-Sep-24,6:35,18:41,0:30,6:40,18:49,
24-Sep-24,6:36,18:39,0:30,6:41,18:47,
25-Sep-24,6:38,18:37,0:30,6:43,18:44,
26-Sep-24,6:39,18:34,0:30,6:44,18:42,
27-Sep-24,6:41,18:32,0:30,6:45,18:40,
28-Sep-24,6:42,18:30,0:30,6:47,18:38,
29-Sep-24,6:44,18:28,0:30,6:48,18:36,
30-Sep-24,6:45,18:26,0:30,6:50,18:34,
1-Oct-24,6:46,18:24,0:30,6:51,18:32,
2-Oct-24,6:48,18:22,0:30,6:52,18:30,
3-Oct-24,6:49,18:20,0:30,6:54,18:28,
4-Oct-24,6:51,18:18,0:30,6:55,18:26,
5-Oct-24,6:52,18:16,0:30,6:57,18:23,
6-Oct-24,6:54,18:14,0:30,6:58,18:21,
7-Oct-24,6:55,18:12,0:30,6:59,18:19,
8-Oct-24,6:57,18:10,0:30,7:01,18:17,
9-Oct-24,6:58,18:08,0:30,7:02,18:15,
10-Oct-24,7:00,18:06,0:30,7:04,18:13,
11-Oct-24,7:01,18:04,0:30,7:05,18:11,
12-Oct-24,7:03,18:02,0:30,7:06,18:09,
13-Oct-24,7:04,18:00,0:30,7:08,18:07,
14-Oct-24,7:06,17:58,0:30,7:09,18:04,
15-Oct-24,7:07,17:56,0:30,7:11,18:02,
16-Oct-24,7:09,17:54,0:30,7:12,18:00,
17-Oct-24,7:10,17:52,0:30,7:14,17:58,
18-Oct-24,7:12,17:50,0:30,7:15,17:56,
19-Oct-24,7:13,17:48,0:30,7:16,17:54,
20-Oct-24,7:15,17:46,0:30,7:18,17:52,
21-Oct-24,7:16,17:44,0:30,7:19,17:50,
22-Oct-24,7:18,17:43,0:30,7:21,17:48,
23-Oct-24,7:19,17:41,0:30,7:22,17:46,
24-Oct-24,7:21,17:39,0:30,7:24,17:44,
25-Oct-24,7:22,17:37,0:30,7:25,17:42,
26-Oct-24,7:24,17:36,0:30,7:27,17:40,
27-Oct-24,7:26,17:34,0:30,7:28,17:38,
28-Oct-24,7:27,17:32,0:30,7:30,17:36,
29-Oct-24,7:29,17:30,0:30,7:31,17:34,
30-Oct-24,7:30,17:29,0:30,7:33,17:32,
31-Oct-24,7:32,17:27,0:30,7:34,17:30,
1-Nov-24,7:33,17:25,0:30,7:36,17:28,
